emoji,description,aliases,tags,category,unicode_version,ios_version
😀,grinning face,grinning,smile happy,Smileys & Emotion,6.1,6.0
😃,grinning face with big eyes,smiley,happy joy haha,Smileys & Emotion,6.0,6.0
😄,grinning face with smiling eyes,smile,happy joy laugh pleased,Smileys & Emotion,6.0,6.0
😁,beaming face with smiling eyes,grin,,Smileys & Emotion,6.0,6.0
😆,grinning squinting face,laughing satisfied,happy haha,Smileys & Emotion,6.0,6.0
😅,grinning face with sweat,sweat_smile,hot,Smileys & Emotion,6.0,6.0
🤣,rolling on the floor laughing,rofl,lol laughing,Smileys & Emotion,9.0,10.2
😂,face with tears of joy,joy,tears,Smileys & Emotion,6.0,6.0
🙂,slightly smiling face,slightly_smiling_face,,Smileys & Emotion,7.0,9.1
🙃,upside-down face,upside_down_face,,Smileys & Emotion,8.0,9.1
🫠,melting face,melting_face,sarcasm dread,Smileys & Emotion,14.0,15.4
😉,winking face,wink,flirt,Smileys & Emotion,6.0,6.0
😊,smiling face with smiling eyes,blush,proud,Smileys & Emotion,6.0,6.0
😇,smiling face with halo,innocent,angel,Smileys & Emotion,6.0,6.0
🥰,smiling face with hearts,smiling_face_with_three_hearts,love,Smileys & Emotion,11.0,12.1
😍,smiling face with heart-eyes,heart_eyes,love crush,Smileys & Emotion,6.0,6.0
🤩,star-struck,star_struck,eyes,Smileys & Emotion,11.0,12.1
😘,face blowing a kiss,kissing_heart,flirt,Smileys & Emotion,6.0,6.0
😗,kissing face,kissing,,Smileys & Emotion,6.1,6.0
☺️,smiling face,relaxed,blush pleased,Smileys & Emotion,,6.0
😚,kissing face with closed eyes,kissing_closed_eyes,,Smileys & Emotion,6.0,6.0
😙,kissing face with smiling eyes,kissing_smiling_eyes,,Smileys & Emotion,6.1,6.0
🥲,smiling face with tear,smiling_face_with_tear,,Smileys & Emotion,13.0,14.0
😋,face savoring food,yum,tongue lick,Smileys & Emotion,6.0,6.0
😛,face with tongue,stuck_out_tongue,,Smileys & Emotion,6.1,6.0
😜,winking face with tongue,stuck_out_tongue_winking_eye,prank silly,Smileys & Emotion,6.0,6.0
🤪,zany face,zany_face,goofy wacky,Smileys & Emotion,11.0,12.1
😝,squinting face with tongue,stuck_out_tongue_closed_eyes,prank,Smileys & Emotion,6.0,6.0
🤑,money-mouth face,money_mouth_face,rich,Smileys & Emotion,8.0,9.1
🤗,smiling face with open hands,hugs,,Smileys & Emotion,8.0,9.1
🤭,face with hand over mouth,hand_over_mouth,quiet whoops,Smileys & Emotion,11.0,12.1
🫢,face with open eyes and hand over mouth,face_with_open_eyes_and_hand_over_mouth,gasp shock,Smileys & Emotion,14.0,15.4
🫣,face with peeking eye,face_with_peeking_eye,,Smileys & Emotion,14.0,15.4
🤫,shushing face,shushing_face,silence quiet,Smileys & Emotion,11.0,12.1
🤔,thinking face,thinking,,Smileys & Emotion,8.0,9.1
🫡,saluting face,saluting_face,respect,Smileys & Emotion,14.0,15.4
🤐,zipper-mouth face,zipper_mouth_face,silence hush,Smileys & Emotion,8.0,9.1
🤨,face with raised eyebrow,raised_eyebrow,suspicious,Smileys & Emotion,11.0,12.1
😐,neutral face,neutral_face,meh,Smileys & Emotion,6.0,6.0
😑,expressionless face,expressionless,,Smileys & Emotion,6.1,6.0
😶,face without mouth,no_mouth,mute silence,Smileys & Emotion,6.0,6.0
🫥,dotted line face,dotted_line_face,invisible,Smileys & Emotion,14.0,15.4
😶‍🌫️,face in clouds,face_in_clouds,,Smileys & Emotion,13.1,14.0
😏,smirking face,smirk,smug,Smileys & Emotion,6.0,6.0
😒,unamused face,unamused,meh,Smileys & Emotion,6.0,6.0
🙄,face with rolling eyes,roll_eyes,,Smileys & Emotion,8.0,9.1
😬,grimacing face,grimacing,,Smileys & Emotion,6.1,6.0
😮‍💨,face exhaling,face_exhaling,,Smileys & Emotion,13.1,14.0
🤥,lying face,lying_face,liar,Smileys & Emotion,9.0,10.2
🫨,shaking face,shaking_face,shock,Smileys & Emotion,15.0,16.4
😌,relieved face,relieved,whew,Smileys & Emotion,6.0,6.0
😔,pensive face,pensive,,Smileys & Emotion,6.0,6.0
😪,sleepy face,sleepy,tired,Smileys & Emotion,6.0,6.0
🤤,drooling face,drooling_face,,Smileys & Emotion,9.0,10.2
😴,sleeping face,sleeping,zzz,Smileys & Emotion,6.1,6.0
😷,face with medical mask,mask,sick ill,Smileys & Emotion,6.0,6.0
🤒,face with thermometer,face_with_thermometer,sick,Smileys & Emotion,8.0,9.1
🤕,face with head-bandage,face_with_head_bandage,hurt,Smileys & Emotion,8.0,9.1
🤢,nauseated face,nauseated_face,sick barf disgusted,Smileys & Emotion,9.0,10.2
🤮,face vomiting,vomiting_face,barf sick,Smileys & Emotion,11.0,12.1
🤧,sneezing face,sneezing_face,achoo sick,Smileys & Emotion,9.0,10.2
🥵,hot face,hot_face,heat sweating,Smileys & Emotion,11.0,12.1
🥶,cold face,cold_face,freezing ice,Smileys & Emotion,11.0,12.1
🥴,woozy face,woozy_face,groggy,Smileys & Emotion,11.0,12.1
😵,face with crossed-out eyes,dizzy_face,,Smileys & Emotion,6.0,6.0
😵‍💫,face with spiral eyes,face_with_spiral_eyes,,Smileys & Emotion,13.1,14.0
🤯,exploding head,exploding_head,mind blown,Smileys & Emotion,11.0,12.1
🤠,cowboy hat face,cowboy_hat_face,,Smileys & Emotion,9.0,10.2
🥳,partying face,partying_face,celebration birthday,Smileys & Emotion,11.0,12.1
🥸,disguised face,disguised_face,,Smileys & Emotion,13.0,14.0
😎,smiling face with sunglasses,sunglasses,cool,Smileys & Emotion,6.0,6.0
🤓,nerd face,nerd_face,geek glasses,Smileys & Emotion,8.0,9.1
🧐,face with monocle,monocle_face,,Smileys & Emotion,11.0,12.1
😕,confused face,confused,,Smileys & Emotion,6.1,6.0
🫤,face with diagonal mouth,face_with_diagonal_mouth,confused,Smileys & Emotion,14.0,15.4
😟,worried face,worried,nervous,Smileys & Emotion,6.1,6.0
🙁,slightly frowning face,slightly_frowning_face,,Smileys & Emotion,7.0,9.1
☹️,frowning face,frowning_face,,Smileys & Emotion,,9.1
😮,face with open mouth,open_mouth,surprise impressed wow,Smileys & Emotion,6.1,6.0
😯,hushed face,hushed,silence speechless,Smileys & Emotion,6.1,6.0
😲,astonished face,astonished,amazed gasp,Smileys & Emotion,6.0,6.0
😳,flushed face,flushed,,Smileys & Emotion,6.0,6.0
🥺,pleading face,pleading_face,puppy eyes,Smileys & Emotion,11.0,12.1
🥹,face holding back tears,face_holding_back_tears,tears gratitude,Smileys & Emotion,14.0,15.4
😦,frowning face with open mouth,frowning,,Smileys & Emotion,6.1,6.0
😧,anguished face,anguished,stunned,Smileys & Emotion,6.1,6.0
😨,fearful face,fearful,scared shocked oops,Smileys & Emotion,6.0,6.0
